Title,Location,Time,Start
RecPAC Week 6 Camp                      ,Mosby Woods Elementary School           ,8:30am Mon/Tue/Wed/Thu                                                                               ,8/6/2018
RecPAC Week 6 Camp                      ,Mount Eagle Elementary School           ,8:30am Mon/Tue/Wed/Thu                                                                               ,8/6/2018
RecPAC Week 6 Camp                      ,Oak View Elementary School              ,8:30am Mon/Tue/Wed/Thu                                                                               ,8/6/2018
RecPAC Week 6 Camp                      ,Oakton Elementary School                ,8:30am Mon/Tue/Wed/Thu                                                                               ,8/6/2018
RecPAC Week 6 Camp                      ,Olde Creek Elementary School            ,8:30am Mon/Tue/Wed/Thu                                                                               ,8/6/2018
RecPAC Week 6 Camp                      ,Poplar Tree Elementary School           ,8:30am Mon/Tue/Wed/Thu                                                                               ,8/6/2018
RecPAC Week 6 Camp                      ,Rolling Valley Elementary School        ,8:30am Mon/Tue/Wed/Thu                                                                               ,8/6/2018
RecPAC Week 6 Camp                      ,Rose Hill Elementary School             ,8:30am Mon/Tue/Wed/Thu                                                                               ,8/6/2018
RecPAC Week 6 Camp                      ,Saratoga Elementary School              ,8:30am Mon/Tue/Wed/Thu                                                                               ,8/6/2018
RecPAC Week 6 Camp                      ,Silverbrook Elementary School           ,8:30am Mon/Tue/Wed/Thu                                                                               ,8/6/2018
RecPAC Week 6 Camp                      ,Sleepy Hollow Elementary School         ,8:30am Mon/Tue/Wed/Thu                                                                               ,8/6/2018
RecPAC Week 6 Camp                      ,Springfield Estates Elementary School   ,8:30am Mon/Tue/Wed/Thu                                                                               ,8/6/2018
RecPAC Week 6 Camp                      ,Terra Centre Elementary School          ,8:30am Mon/Tue/Wed/Thu                                                                               ,8/6/2018
RecPAC Week 6 Camp                      ,Union Mill Elementary School            ,8:30am Mon/Tue/Wed/Thu                                                                               ,8/6/2018
RecPAC Week 6 Camp                      ,Westgate Elementary School              ,8:30am Mon/Tue/Wed/Thu                                                                               ,8/6/2018
RecPAC Week 6 Camp                      ,Woodlawn Elementary School              ,8:30am Mon/Tue/Wed/Thu                                                                               ,8/6/2018
RecPAC Week 6 Camp                      ,Woodley Hills Elementary                ,8:30am Mon/Tue/Wed/Thu                                                                               ,8/6/2018
RecPAC Week 6 Camp                      ,McNair Elementary School                ,8:30am Mon/Tue/Wed/Thu                                                                               ,8/6/2018
RecPAC Week 6 Camp                      ,Lorton Station Elementary               ,8:30am Mon/Tue/Wed/Thu                                                                               ,8/6/2018
RecPAC Week 6 Camp                      ,Eagle View Elementary School            ,8:30am Mon/Tue/Wed/Thu                                                                               ,8/6/2018
RecPAC Week 6 Camp                      ,Coates Elementary School                ,8:30am Mon/Tue/Wed/Thu                                                                               ,8/6/2018
RecPAC Week 6 Camp                      ,Laurel Hill Elementary School           ,8:30am Mon/Tue/Wed/Thu                                                                               ,8/6/2018
Junior ROCS Camp (5yr3mos-7yr11mos)     ,Cub Run RECenter                        ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Junior ROCS Camp (5yr3mos-7yr11mos)     ,Lee District RECenter                   ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Eureka! by Mad Science (6-11 yrs)       ,Navy Elementary School                  ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Junior ROCS Camp (5yr3mos-7yr11mos)     ,Mount Vernon RECenter                   ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Junior ROCS Camp (5yr3mos-7yr11mos)     ,Providence RECenter                     ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Junior ROCS Camp (5yr3mos-7yr11mos)     ,South Run RECenter                      ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Junior ROCS Camp (5yr3mos-7yr11mos)     ,Spring Hill RECenter                    ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Junior ROCS Camp (5yr3mos-7yr11mos)     ,Audrey Moore RECenter                   ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Native American Survival Skills (6-11yr),Ellanor C. Lawrence Park                ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Tumbling & Hip Hop Camp (5 1/2-12 yrs.) ,Providence RECenter                     ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Jr. Farmer Camp (9-14 yrs.)             ,Frying Pan Park                         ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Junior ROCS Camp (5yr3mos-7yr11mos)     ,Oak Marr RECenter                       ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Junior Golf Camp (8-14 yrs)             ,Twin Lakes Golf Course                  ,8:30am Mon/Tue/Wed/Thu/Fri                                                                           ,8/6/2018
Wilderness Survival Camp (8-12 yrs)     ,Cub Run RECenter                        ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Wilderness Survival Camp (8-12 yrs)     ,Huntley Meadows Park                    ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Junior Golf Camp (8-14 yrs)             ,Pinecrest Golf Course                   ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Junior Golf Camp (8-14 yrs)             ,Pinecrest Golf Course                   ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Bike Riding Camp (8-12 yrs)             ,Oak Marr RECenter                       ,8:30am Mon/Tue/Wed/Thu/Fri                                                                           ,8/6/2018
Circus Arts Superstars Camp (6-14yrs)   ,South Run RECenter                      ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Bike Riding Camp (8-12 yrs)             ,Audrey Moore RECenter                   ,8:30am Mon/Tue/Wed/Thu/Fri                                                                           ,8/6/2018
Ping Pong Camp (6-14 yrs)               ,Providence RECenter                     ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Engineering of Cities (5-7 yrs.)        ,Providence RECenter                     ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Virginia Heritage Camp (6-11 yrs)       ,Sully                                   ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
LEGO STEM Intro & Challenge Camps       ,Spring Hill Elementary School           ,1pm Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Horsemanship Camp (7-14 yrs)            ,Lucia Farms Equestrian                  ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Horsemanship Camp (7-14 yrs)            ,Lucia Farms Equestrian                  ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
LEGO STEM Intro & Challenge Camps       ,Audrey Moore RECenter                   ,1pm Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Rascally Rabbits & Friends (4-6 yrs.)   ,Great Falls Grange                      ,9:30am Mon/Tue/Wed/Thu/Fri                                                                           ,8/6/2018
Paddle & Explore (10-16 yrs.)           ,Cub Run RECenter                        ,8:30am Mon/Tue/Wed/Thu/Fri                                                                           ,8/6/2018
Potomac Archers (9-12 yrs.)             ,Riverbend Park                          ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
VA Outside Adventure Camp (10-15 yrs.)  ,Chantilly High School                   ,8:30am Mon/Tue/Wed/Thu/Fri                                                                           ,8/6/2018
Secret Agent Lab (6-11 yrs)             ,Audrey Moore RECenter                   ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Young Rembrandts Modern Masters(8-12yrs),Lee District RECenter                   ,1pm Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Arts al Fresco (7-13 yrs)               ,Green Spring Gardens Park               ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Nature Quest (6-11 yrs)                 ,Huntley Meadows Park                    ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
LEGO STEM Intro & Challenge Camps       ,Audrey Moore RECenter                   ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
LEGO STEM Intro & Challenge Camps       ,Spring Hill Elementary School           ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Young Rembrandts Anime Camp (6-9 yrs.)  ,Lee District RECenter                   ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
B2R Rock City World Tour (3-6 yrs.)     ,Back to Rock Herndon                    ,9:30am Mon/Tue/Wed/Thu/Fri                                                                           ,8/6/2018
Aqua Adventures (7-12 yrs)              ,Lee District RECenter                   ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Theatrical Teens Camp (11-15 yrs)       ,Armstrong Elementary School             ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Dancing with the Camp Stars! (5.5-12 yr),Mount Vernon RECenter                   ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Sewing: T-Shirt QUilting (8-12 yrs.)    ,South Run RECenter                      ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Ultimate Music Experience (5-12 yrs)    ,Navy Elementary School                  ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Ultimate Music Experience (5-12 yrs)    ,Navy Elementary School                  ,1:30pm Mon/Tue/Wed/Thu/Fri                                                                           ,8/6/2018
Little Lakeside Explorers (5-7 yrs)     ,Lake Accotink Park                      ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Paddle Away Camp (12-15 yrs.)           ,Riverbend Park                          ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Dig It: Archaeology Adventures (8-12yrs),Historic Huntley                        ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Pee Wee Paddler III (4-6 yrs.)          ,George Washington RECenter              ,10am Mon/Tue/Wed/Thu                                                                                 ,8/6/2018
Pee Wee Paddler II (3-5 yrs.)           ,George Washington RECenter              ,9:25am Mon/Tue/Wed/Thu                                                                               ,8/6/2018
Primitive Teachings (8-12 yrs)          ,Riverbend Park                          ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
3D Printing with STEM exCEL (6-12 yrs.) ,Audrey Moore RECenter                   ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Little Lakeside Explorers Camp (4-6 yrs),Burke Lake Park                         ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Learn to Ride! Bike & Skateboard Camp   ,Audrey Moore RECenter                   ,8:30am Mon/Tue/Wed/Thu/Fri                                                                           ,8/6/2018
Girls Computer Programming (8-13 yrs.)  ,South Run RECenter                      ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Dual Spts-Flag Football/Basktbll(7-14yr),South Run RECenter                      ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Dual Spts-Flag Football/Basktbll(7-14yr),Spring Hill RECenter                    ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Chess Camp (5-13 yrs)                   ,Frying Pan Park                         ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Chess Camp (5-13 yrs)                   ,Frying Pan Park                         ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Chess Camp (5-13 yrs)                   ,Frying Pan Park                         ,1pm Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Chess Camp (5-13 yrs)                   ,Spring Hill RECenter                    ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Stir It Up! (8-14 yrs.)                 ,Lee District RECenter                   ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Movin' N Groovin' Learning Fun(5-8 yrs.),Spring Hill RECenter                    ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Digital Kidz Jr Programming (6-11 yrs.) ,Mount Vernon RECenter                   ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Business of Sports Management (8-14yrs) ,South Run RECenter                      ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Extreme STEAM Art Camp (6-12 yrs.)      ,Navy Elementary School                  ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Dinosaur Days Camp (5-9 yrs)            ,Hidden Oaks Nature Center               ,1:30pm Mon/Tue/Wed/Thu/Fri                                                                           ,8/6/2018
Burke Outdoor Adventurers (9-13 yrs.)   ,Burke Lake Park                         ,8am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Extreme STEAM Art Camp (3-6 yrs.)       ,Navy Elementary School                  ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Young Swashbucklers Fencing (6-7 yrs.)  ,NOVA Fencing Club                       ,8:30am Mon/Tue/Wed/Thu/Fri                                                                           ,8/6/2018
Minecraft & Computer Science (6-12 yrs.),Armstrong Elementary School             ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Doctors & Vets Camp (6-10 yrs.)         ,Cub Run RECenter                        ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Doctors & Vets Camp (6-10 yrs.)         ,Cub Run RECenter                        ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Doctors & Vets Camp (6-10 yrs.)         ,Cub Run RECenter                        ,1pm Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Lakeside Splash & Explore Camp (6-11yrs),Lake Fairfax Park                       ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Lakeside Nature Discovery Camp (6-13 yr),Lake Accotink Park                      ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Bio-Survey Camp (12-17 yrs.)            ,Hidden Pond Nature Center               ,1pm Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Fishing Adventures (12-15 yrs)          ,Riverbend Park                          ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Discovery Time I(3-6 yrs) Rocks/Minerals,Frying Pan Park                         ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Sports Zone (8-12 yrs)                  ,South Run RECenter                      ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Sports Zone (8-12 yrs)                  ,Spring Hill RECenter                    ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Gymnastics & Cheer Camp (5 1/2-12 yrs.) ,Audrey Moore RECenter                   ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Adventure Links Classic Adventure 8-10yr,Oak Marr RECenter                       ,8am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Skateboard Camp (5-12 yrs)              ,Audrey Moore RECenter                   ,8:30am Mon/Tue/Wed/Thu/Fri                                                                           ,8/6/2018
Adventure Links Ultimate Adventure 11-13,Oak Marr RECenter                       ,8am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Stock Market Aces (8-14 yrs.)           ,Providence RECenter                     ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
All Star Gymnastics Camp (4-6 yrs.)     ,Lee District RECenter                   ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Adventures in Musical Theater (6-9 yrs) ,Lee District RECenter                   ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Sports Zone Jr. (5 yr 3mos- 7 yrs)      ,South Run RECenter                      ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Paddle & Explore (8-14 yrs)             ,Lake Fairfax Park                       ,8:30am Mon/Tue/Wed/Thu/Fri                                                                           ,8/6/2018
SheEO Business Camp for Girls (8-15 yrs),Spring Hill RECenter                    ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
"Kids Kitchen: Food, Fitness, Fun(8-14yr)",Fairhill Elementary School              ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Lakeside Scientist Camp (9-13 yrs.)     ,Lake Fairfax Park                       ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Digital Kidz Battle Bots (8-13 yrs.)    ,Providence RECenter                     ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
DJ Camp (10-17 yrs.)                    ,Bach to Rock McLean                     ,1pm Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Archery Camp (9-15 yrs)                 ,Bull Run Park                           ,9am Mon/Tue/Wed                                                                                      ,8/6/2018
Sports Zone Jr. (5 yr 3mos- 7 yrs)      ,Spring Hill RECenter                    ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Sports Zone Jr. (5 yr 3mos- 7 yrs)      ,Providence RECenter                     ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Rock Band Camp (7-13 yrs)               ,Bach to Rock McLean                     ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Rock Band Camp (7-13 yrs)               ,Back to Rock Herndon                    ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Tech Savvy Girls (8-12 yrs)             ,Frying Pan Park                         ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
DJ Camp (10-17 yrs.)                    ,Back to Rock Herndon                    ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Prehistoric Ponders (7-11 yrs.)         ,Hidden Pond Nature Center               ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Digital Kidz Video Game Design Camp     ,Lee District RECenter                   ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Kiddie Gymnastics Camp (4-6 yrs)        ,Audrey Moore RECenter                   ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Girls Leadership Camp (8-14 yrs)        ,Audrey Moore RECenter                   ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
ACTion! Beauty & The Beast @ Spring Hill,Spring Hill RECenter                    ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
ACTion! Despicable You & Me! @ South Run,South Run RECenter                      ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Camp Extended Care (5-15 yrs)           ,Spring Hill RECenter                    ,7am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Camp Extended Care (5-15 yrs)           ,Spring Hill RECenter                    ,8am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Camp Extended Care (5-15 yrs)           ,Spring Hill RECenter                    ,4pm Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Camp Extended Care (5-15 yrs)           ,South Run RECenter                      ,7am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Camp Extended Care (5-15 yrs)           ,South Run RECenter                      ,8am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Camp Extended Care (5-15 yrs)           ,South Run RECenter                      ,4pm Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Camp Extended Care (5-15 yrs)           ,Providence RECenter                     ,7am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Camp Extended Care (5-15 yrs)           ,Providence RECenter                     ,8am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Camp Extended Care (5-15 yrs)           ,Providence RECenter                     ,4pm Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Camp Extended Care (5-15 yrs)           ,Oak Marr RECenter                       ,7am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Camp Extended Care (5-15 yrs)           ,Oak Marr RECenter                       ,8am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Camp Extended Care (5-15 yrs)           ,Oak Marr RECenter                       ,4pm Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Camp Extended Care (5-15 yrs)           ,Cub Run RECenter                        ,7am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Camp Extended Care (5-15 yrs)           ,Cub Run RECenter                        ,8am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Camp Extended Care (5-15 yrs)           ,Cub Run RECenter                        ,4pm Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Camp Extended Care (5-15 yrs)           ,Audrey Moore RECenter                   ,7am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Camp Extended Care (5-15 yrs)           ,Audrey Moore RECenter                   ,8am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Camp Extended Care (5-15 yrs)           ,Audrey Moore RECenter                   ,4pm Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Camp Extended Care (5-15 yrs)           ,Lee District RECenter                   ,7am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Camp Extended Care (5-15 yrs)           ,Lee District RECenter                   ,8am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Camp Extended Care (5-15 yrs)           ,Lee District RECenter                   ,4pm Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Camp Extended Care (5-15 yrs)           ,Riverbend Park                          ,8am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Camp Extended Care (5-15 yrs)           ,Riverbend Park                          ,4pm Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Camp Extended Care (5-15 yrs)           ,Frying Pan Park                         ,7am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Camp Extended Care (5-15 yrs)           ,Frying Pan Park                         ,8am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Camp Extended Care (5-15 yrs)           ,Frying Pan Park                         ,4pm Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Camp Extended Care (5-15 yrs)           ,Ellanor C. Lawrence Park                ,7am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Camp Extended Care (5-15 yrs)           ,Ellanor C. Lawrence Park                ,8am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Camp Extended Care (5-15 yrs)           ,Ellanor C. Lawrence Park                ,4pm Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Camp Extended Care (5-15 yrs)           ,Mount Vernon RECenter                   ,7am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Camp Extended Care (5-15 yrs)           ,Mount Vernon RECenter                   ,8am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Camp Extended Care (5-15 yrs)           ,Mount Vernon RECenter                   ,4pm Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Camp Extended Care (5-15 yrs)           ,Burke Lake Park                         ,4pm Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Nature Bike Riding Camp (9-14 yrs)      ,Oak Marr RECenter                       ,8:30am Mon/Tue/Wed/Thu/Fri                                                                           ,8/6/2018
"Afternoon Fun Camp (5yrs,3mos-12 yrs)   ",South Run RECenter                      ,12:15pm Mon/Tue/Wed/Thu/Fri                                                                          ,8/6/2018
"Afternoon Fun Camp (5yrs,3mos-12 yrs)   ",Lee District RECenter                   ,12:15pm Mon/Tue/Wed/Thu/Fri                                                                          ,8/6/2018
"Afternoon Fun Camp (5yrs,3mos-12 yrs)   ",Audrey Moore RECenter                   ,12:15pm Mon/Tue/Wed/Thu/Fri                                                                          ,8/6/2018
Learn to Ride a Bike Camp (5-8yrs)      ,Oak Marr RECenter                       ,8:30am Mon/Tue/Wed/Thu/Fri                                                                           ,8/6/2018
Learn to Ride a Bike Camp (5-8yrs)      ,Audrey Moore RECenter                   ,8:30am Mon/Tue/Wed/Thu/Fri                                                                           ,8/6/2018
Girls Only Ultimate Games Camp (6-14yrs),Lee District RECenter                   ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Camp Extended Care (5-15 yrs)           ,Lake Accotink Park                      ,8am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Camp Extended Care (5-15 yrs)           ,Lake Accotink Park                      ,4pm Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Camp Extended Care (5-15 yrs)           ,Lake Fairfax Park                       ,8am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Camp Extended Care (5-15 yrs)           ,Lake Fairfax Park                       ,4pm Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Adapted Potomac Adventures (13-20 yrs)  ,Riverbend Park                          ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
LegoTopia! (6-12 yrs.)                  ,Cub Run RECenter                        ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Morning Fun Camp (5yr3mos-12yrs.)       ,Lee District RECenter                   ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Young Entrepreneurs Camp (5-12 yrs.)    ,South Run RECenter                      ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Arts Extravaganza! (6-12 yrs.)          ,Fort Hunt Elementary School             ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Tennis Camp (6-13 yrs)                  ,Lee District RECenter                   ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Stand Up Paddleboarding for Fitness 14+ ,Riverbend Park                          ,6pm Mon                                                                                              ,8/6/2018
Baseball Camp (8-12 yrs.)               ,Spring Hill RECenter                    ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
All About Animals (3-5 yrs)             ,Frying Pan Park                         ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Adventures on the Farm Camp (6-10 yrs)  ,Frying Pan Park                         ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Tennis Camp (6-12 yrs)                  ,Pine Spring Elementary School           ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Sports Zone (8-12 yrs)                  ,Providence RECenter                     ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Excursion Camp (8-14 yrs)               ,Providence RECenter                     ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Excursion Camp (8-14 yrs)               ,Oak Marr RECenter                       ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Applause! Performing Arts Camp (7-14yrs),Providence RECenter                     ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Total Sports Camp (6-13 yrs)            ,Lee District RECenter                   ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
British Soccer Players Plus (10-14yrs)  ,Oak Marr RECenter                       ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Pilates Allegro Reformer Lessons 13+    ,Lee District RECenter                   ,9am Mon                                                                                              ,8/6/2018
Pilates Allegro Reformer Lessons 13+    ,Lee District RECenter                   ,6:30pm Mon                                                                                           ,8/6/2018
Pilates Allegro Reformer Lessons 13+    ,Lee District RECenter                   ,7:30pm Mon                                                                                           ,8/6/2018
Weight Training - Senior (60 yrs+)      ,Lee District RECenter                   ,12:30pm Mon                                                                                          ,8/6/2018
Tai Chi II (13-Adult)                   ,Frying Pan Park                         ,8pm Mon                                                                                              ,8/6/2018
Lakeside Nature Discovery Camp (6-10yrs),Burke Lake Park                         ,8am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Fencing Camp with VA Fencing Acad(9yrs+),VA Academy of Fencing                   ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Summer ROCS Camp (8-12 yrs)             ,Oak Marr RECenter                       ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Fencing w/NOVA Fencing Club (8-14 yrs)  ,NOVA Fencing Club                       ,8:30am Mon/Tue/Wed/Thu/Fri                                                                           ,8/6/2018
Photo Explorers Camp (8-13 yrs)         ,Oak Marr RECenter                       ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
